"","PlayerYID","fantasy.points","pos","Name","isPG","isSG","isSF","isPF","isC","cost"
"1","abrinal012018",392.997552871704,"SG","Alex Abrines",0,1,0,0,0,1
"2","adamsja012018",433.170495986938,"PG","Jaylen Adams",1,0,0,0,0,1
"3","adamsst012018",1549.81639099121,"C","Steven Adams",0,0,0,0,1,27
"4","adebaba012018",1265.60411071777,"C","Bam Adebayo",0,0,0,0,1,19
"5","aldrila012018",1821.19927978516,"C","LaMarcus Aldridge",0,0,0,0,1,34
"6","allengr012018",306.500372409821,"SG","Grayson Allen",0,1,0,0,0,1
"7","allenja012018",1425.20325469971,"C","Jarrett Allen",0,0,0,0,1,24
"8","allenka012018",897.279769897461,"SG","Kadeem Allen",0,1,0,0,0,10
"9","aminual012018",1084.29519271851,"PF","Al-Farouq Aminu",0,0,0,1,0,15
"10","anderju012018",367.891535758972,"SF","Justin Anderson",0,0,1,0,0,1
"11","anderky012018",1096.09436035156,"SF","Kyle Anderson",0,0,1,0,0,18
"12","anderry012018",236.44339132309,"PF","Ryan Anderson",0,0,0,1,0,1
"13","antetgi012018",2698.83144378662,"PF","Giannis Antetokounmpo",0,0,0,1,0,57
"14","anunoog012018",650.749565124512,"SF","OG Anunoby",0,0,1,0,0,6
"15","arcidry012018",804.622497558594,"PG","Ryan Arcidiacono",1,0,0,0,0,8
"16","arizatr012018",1113.77536010742,"SF","Trevor Ariza",0,0,1,0,0,18
"17","augusdj012018",1031.1194858551,"PG","D.J. Augustin",1,0,0,0,0,13
"18","aytonde012018",1778.11568450928,"C","Deandre Ayton",0,0,0,0,1,33
"19","bacondw012018",591.740119934082,"SG","Dwayne Bacon",0,1,0,0,0,2
"20","baglema012018",1325.81253814697,"PF","Marvin Bagley",0,0,0,1,0,21
"21","balllo012018",1143.42538070679,"PG","Lonzo Ball",1,0,0,0,0,16
"22","bambamo012018",816.211772918701,"C","Mohamed Bamba",0,0,0,0,1,8
"23","bareajo012018",827.859464645386,"PG","J.J. Barea",1,0,0,0,0,8
"24","barneha022018",1079.95572471619,"PF-SF","Harrison Barnes",0,0,1,1,0,17
"25","bartowi012018",886.919193267822,"SG","Will Barton",0,1,0,0,0,10
"26","bateske012018",514.429656028748,"SF","Keita Bates-Diop",0,0,1,0,0,2
"27","batumni012018",1032.71440124512,"SF","Nicolas Batum",0,0,1,0,0,16
"28","bayleje012018",482.377721786499,"PG","Jerryd Bayless",1,0,0,0,0,1
"29","baynear012018",680.250377655029,"C","Aron Baynes",0,0,0,0,1,4
"30","bazemke012018",892.544290542603,"SG","Kent Bazemore",0,1,0,0,0,10
"31","bealbr012018",1874.37459564209,"SG","Bradley Beal",0,1,0,0,0,35
"32","beaslma012018",861.347135543823,"SG","Malik Beasley",0,1,0,0,0,9
"33","beaslmi012018",491.060450553894,"PF","Michael Beasley",0,0,0,1,0,1
"34","belinma012018",685.891662597656,"SG","Marco Belinelli",0,1,0,0,0,5
"35","belljo012018",536.411375045776,"C","Jordan Bell",0,0,0,0,1,1
"36","bembrde012018",907.492546081543,"SG","DeAndre' Bembry",0,1,0,0,0,10
"37","bendedr012018",654.536775588989,"PF","Dragan Bender",0,0,0,1,0,4
"38","bertada012018",779.838005065918,"PF","Davis Bertans",0,0,0,1,0,7
"39","beverpa012018",970.453893661499,"PG","Patrick Beverley",1,0,0,0,0,12
"40","birchkh012018",661.348812103271,"C","Khem Birch",0,0,0,0,1,4
"41","biyombi012018",656.797183990479,"C","Bismack Biyombo",0,0,0,0,1,4
"42","bjeline012018",1015.74925613403,"PF","Nemanja Bjelica",0,0,0,1,0,13
"43","blakean012018",492.164887428284,"SG","Antonio Blakeney",0,1,0,0,0,1
"44","bledser012018",1430.54096221924,"PG","Eric Bledsoe",1,0,0,0,0,24
"45","blossja012018",507.28936958313,"SF","Jaron Blossomgame",0,0,1,0,0,2
"46","bogdabo012018",1062.31929969788,"SG","Bogdan Bogdanovic",0,1,0,0,0,14
"47","bogdabo022018",1223.42444419861,"SF","Bojan Bogdanovic",0,0,1,0,0,21
"48","boldejo012018",651.089193344116,"PF","Jonah Bolden",0,0,0,1,0,4
"49","bookede012018",1818.04839324951,"SG","Devin Booker",0,1,0,0,0,34
"50","bouchch012018",403.297601699829,"PF","Chris Boucher",0,0,0,1,0,1
"51","bradlav012018",698.183654785156,"SG","Avery Bradley",0,1,0,0,0,5
"52","breweco012018",499.343375205994,"SF","Corey Brewer",0,0,1,0,0,2
"53","bridgmi012018",927.33323097229,"SF","Mikal Bridges",0,0,1,0,0,13
"54","bridgmi022018",838.322797775269,"SF","Miles Bridges",0,0,1,0,0,11
"55","briscis012018",454.589595794678,"PG","Isaiah Briscoe",1,0,0,0,0,1
"56","broekry012018",337.61273765564,"SG","Ryan Broekhoff",0,1,0,0,0,1
"57","brogdma012018",1291.19571876526,"SG","Malcolm Brogdon",0,1,0,0,0,20
"58","brookdi012018",470.439316749573,"SF","Dillon Brooks",0,0,1,0,0,1
"59","brookma012018",391.280096054077,"SG","MarShon Brooks",0,1,0,0,0,1
"60","brownbr012018",546.311111450195,"SG","Bruce Brown",0,1,0,0,0,1
"61","brownja022018",1012.35977745056,"SG","Jaylen Brown",0,1,0,0,0,13
"62","brownlo012018",231.129867553711,"PG","Lorenzo Brown",1,0,0,0,0,1
"63","brownst022018",649.115666389465,"SG","Sterling Brown",0,1,0,0,0,4
"64","browntr012018",553.653509140015,"SF","Troy Brown",0,0,1,0,0,3
"65","brunsja012018",812.411581039429,"PG","Jalen Brunson",1,0,0,0,0,8
"66","bryanth012018",1243.64643859863,"C","Thomas Bryant",0,0,0,0,1,19
"67","bullore012018",785.485389709473,"SG","Reggie Bullock",0,1,0,0,0,7
"68","burketr012018",749.098875045776,"PG","Trey Burke",1,0,0,0,0,6
"69","burksal012018",747.56120300293,"SG","Alec Burks",0,1,0,0,0,6
"70","burtode022018",227.763516902924,"SG","Deonte Burton",0,1,0,0,0,1
"71","butleji012018",1568.47740936279,"SF-SG","Jimmy Butler",0,1,1,0,0,30
"72","cabocbr012018",859.912767410278,"SF","Bruno Caboclo",0,0,1,0,0,11
"73","caldejo012018",312.370317935944,"PG","Jose Calderon",1,0,0,0,0,1
"74","caldwke012018",840.578435897827,"SG","Kentavious Caldwell-Pope",0,1,0,0,0,9
"75","canaais012018",519.612173080444,"PG","Isaiah Canaan",1,0,0,0,0,1
"76","capelca012018",2003.99261474609,"C","Clint Capela",0,0,0,0,1,39
"77","carrode012018",829.663333892822,"PF","DeMarre Carroll",0,0,0,1,0,8
"78","carteje012018",422.343996047974,"PG","Jevon Carter",1,0,0,0,0,1
"79","cartevi012018",586.617114067078,"SF","Vince Carter",0,0,1,0,0,4
"80","cartewe012018",1186.92344284058,"C","Wendell Carter",0,0,0,0,1,17
"81","cartemi012018",534.778962135315,"PG","Michael Carter-Williams",1,0,0,0,0,1
"82","carusal012018",823.341932296753,"PG","Alex Caruso",1,0,0,0,0,8
"83","casspom012018",580.493366241455,"SF","Omri Casspi",0,0,1,0,0,4
"84","caulewi012018",1394.62279510498,"C","Willie Cauley-Stein",0,0,0,0,1,23
"85","chandty012018",615.406998634338,"C","Tyson Chandler",0,0,0,0,1,3
"86","chandwi012018",647.484387397766,"PF-SF","Wilson Chandler",0,0,1,1,0,6
"87","chrisma012018",477.090571403503,"PF","Marquese Chriss",0,0,0,1,0,1
"88","clarkga012018",405.353709220886,"PF","Gary Clark",0,0,0,1,0,1
"89","clarkia012018",439.910196304321,"SG","Ian Clark",0,1,0,0,0,1
"90","clarkjo012018",1062.92567253113,"SG","Jordan Clarkson",0,1,0,0,0,14
"91","collijo012018",1796.59746551514,"PF","John Collins",0,0,0,1,0,33
"92","colliza012018",782.28875541687,"C","Zach Collins",0,0,0,0,1,7
"93","collida012018",1145.87190818787,"PG","Darren Collison",1,0,0,0,0,16
"94","conlemi012018",1544.38703155518,"PG","Mike Conley",1,0,0,0,0,27
"95","connapa012018",812.362001419067,"SG","Pat Connaughton",0,1,0,0,0,8
"96","cookqu012018",571.364459991455,"PG","Quinn Cook",1,0,0,0,0,2
"97","couside012018",1546.41213226318,"C","DeMarcus Cousins",0,0,0,0,1,27
